id,title,author,license,url
8655,Glowing Eyes,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/A_History_of_Might_and_Mystery/Glowing_Eyes_1386/
8656,The Gong Song,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/A_History_of_Might_and_Mystery/The_Gong_Song/
8657,Monkey Paw,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/A_History_of_Might_and_Mystery/Monkey_Paw_1146/
8658,Alcohol,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/A_Compromise_Early_4-Track_Recordings__Rare_Tracks/Alcohol_1518/
8659,Bumble Bee,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/A_Compromise_Early_4-Track_Recordings__Rare_Tracks/Bumble_Bee/
8660,Candle,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/A_Compromise_Early_4-Track_Recordings__Rare_Tracks/Candle/
8661,Drumb,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/A_Compromise_Early_4-Track_Recordings__Rare_Tracks/Drumb/
8662,Five Mile Hike (rare),Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/A_Compromise_Early_4-Track_Recordings__Rare_Tracks/Five_Mile_Hike_rare/
8663,Ghost,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/A_Compromise_Early_4-Track_Recordings__Rare_Tracks/Ghost_1598/
8664,Ghost (rare),Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/A_Compromise_Early_4-Track_Recordings__Rare_Tracks/Ghost_rare/
8665,Glowing Eyes,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/A_Compromise_Early_4-Track_Recordings__Rare_Tracks/Glowing_Eyes_1040/
8666,Igloo,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/A_Compromise_Early_4-Track_Recordings__Rare_Tracks/Igloo_1681/
8667,Indonesia,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/A_Compromise_Early_4-Track_Recordings__Rare_Tracks/Indonesia/
8668,Maggots on the Meat,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/A_Compromise_Early_4-Track_Recordings__Rare_Tracks/Maggots_on_the_Meat_1371/
8669,Making Babies (rare),Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/A_Compromise_Early_4-Track_Recordings__Rare_Tracks/Making_Babies_rare/
8670,Murmer,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/A_Compromise_Early_4-Track_Recordings__Rare_Tracks/Murmer/
8671,Murmer (rare),Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/A_Compromise_Early_4-Track_Recordings__Rare_Tracks/Murmer_rare/
8672,pyramid thorns (rare),Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/A_Compromise_Early_4-Track_Recordings__Rare_Tracks/pyramid_thorns_rare/
8673,Stargazing,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/A_Compromise_Early_4-Track_Recordings__Rare_Tracks/Stargazing_1556/
8674,Stargazing (rare),Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/A_Compromise_Early_4-Track_Recordings__Rare_Tracks/Stargazing_rare/
8685,Astrosmash,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/Live_in_Kingston/Astrosmash_1605/
8686,BornPilot,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/Live_in_Kingston/BornPilot_1640/
8687,Marionette,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/Live_in_Kingston/Marionette_1449/
8688,Glowing Eyes,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/Live_in_Kingston/Glowing_Eyes_1971/
8689,Sun Gazing,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/Live_in_Kingston/Sun_Gazing_1199/
8690,Igloo,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/Live_in_Kingston/Igloo_1306/
8691,Monkey Paw,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/Live_in_Kingston/Monkey_Paw_1043/
8692,Murmur,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/Live_in_Kingston/Murmur_1832/
8693,Dreary Dream,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/Live_in_Kingston/Dreary_Dream_1712/
8694,Star Gazing,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/Live_in_Kingston/Star_Gazing/
8737,Astrosmash,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/Live_at_the_Pink_House_January_12th_2006/Astrosmash_1026/
8738,Drunk,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/Live_at_the_Pink_House_January_12th_2006/Drunk_1958/
8739,Glowing Eyes,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/Live_at_the_Pink_House_January_12th_2006/Glowing_Eyes_1732/
8740,Igloo,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/Live_at_the_Pink_House_January_12th_2006/Igloo_1049/
8741,Sungazing,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/Live_at_the_Pink_House_January_12th_2006/Sungazing_1091/
8742,Marrionette,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/Live_at_the_Pink_House_January_12th_2006/Marrionette/
8743,Murmur,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/Live_at_the_Pink_House_January_12th_2006/Murmur_1949/
8744,Nightengale,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/Live_at_the_Pink_House_January_12th_2006/Nightengale/
8745,Botched Paw,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/Live_at_the_Pink_House_January_12th_2006/Botched_Paw/
8746,Lock Robster,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/Live_at_the_Pink_House_January_12th_2006/Lock_Robster/
8747,Suicidal Sunflower,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/Live_in_Matts_Garage_July_7th_2005/Suicidal_Sunflower/
8748,Astrosmash,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/Live_in_Matts_Garage_July_7th_2005/Astrosmash_1257/
8749,Glowing Eyes,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/Live_in_Matts_Garage_July_7th_2005/Glowing_Eyes_1286/
8750,Marionette,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/Live_in_Matts_Garage_July_7th_2005/Marionette_1136/
8751,Headless Dolls,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/Live_in_Matts_Garage_July_7th_2005/Headless_Dolls/
8752,Monkey Paw,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/Live_in_Matts_Garage_July_7th_2005/Monkey_Paw_1751/
8753,Drunk,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/Live_in_Matts_Garage_July_7th_2005/Drunk_1901/
8754,Nightengale,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/Live_in_Matts_Garage_July_7th_2005/Nightengale_1970/
8755,Alcohol,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/Live_in_Matts_Garage_July_7th_2005/Alcohol_1224/
8756,Stargazing,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/Live_in_Matts_Garage_July_7th_2005/Stargazing_1590/
8757,Sungazing,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/Live_in_Matts_Garage_July_7th_2005/Sungazing_1171/
8758,Bornpilot,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/Live_in_Matts_Garage_July_7th_2005/Bornpilot_1055/
8775,Sungazing,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/Live_at_Jeff_The_Pigeon_February_28th_2006/Sungazing_1420/
8776,Glowing Eyes,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/Live_at_Jeff_The_Pigeon_February_28th_2006/Glowing_Eyes_1634/
8777,Headless Dolls,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/Live_at_Jeff_The_Pigeon_February_28th_2006/Headless_Dolls_1644/
8778,Suicidal Sunflower,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/Live_at_Jeff_The_Pigeon_February_28th_2006/Suicidal_Sunflower_1739/
8779,Murmur,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/Live_at_Jeff_The_Pigeon_February_28th_2006/Murmur_1769/
8780,Monkey Paw,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/Live_at_Jeff_The_Pigeon_February_28th_2006/Monkey_Paw_1235/
8840,There's a Magic Pinataville,EAT!,ccby,https://freemusicarchive.org/music/EAT/A_Pound_Of_Ham/Theres_a_Magic_Pinataville/
8841,Stumbles the Retard,EAT!,ccby,https://freemusicarchive.org/music/EAT/A_Pound_Of_Ham/Stumbles_the_Retard/
8842,Down in Moon of Goat,EAT!,ccby,https://freemusicarchive.org/music/EAT/A_Pound_Of_Ham/Down_in_Moon_of_Goat/
8843,Jungle Jim,EAT!,ccby,https://freemusicarchive.org/music/EAT/A_Pound_Of_Ham/Jungle_Jim/
8844,Bizzle Fo Rizzle,EAT!,ccby,https://freemusicarchive.org/music/EAT/A_Pound_Of_Ham/Bizzle_Fo_Rizzle/
8845,Baby in a Trash Can,EAT!,ccby,https://freemusicarchive.org/music/EAT/A_Pound_Of_Ham/Baby_in_a_Trash_Can/
8846,Fuck theres a Truck,EAT!,ccby,https://freemusicarchive.org/music/EAT/A_Pound_Of_Ham/Fuck_theres_a_Truck/
8847,Beeve and Steve,EAT!,ccby,https://freemusicarchive.org/music/EAT/A_Pound_Of_Ham/Beeve_and_Steve/
8848,Shake Yer Cheesecake,EAT!,ccby,https://freemusicarchive.org/music/EAT/A_Pound_Of_Ham/Shake_Yer_Cheesecake/
8849,Baby in a Dumpster,EAT!,ccby,https://freemusicarchive.org/music/EAT/A_Pound_Of_Ham/Baby_in_a_Dumpster/
8850,Dr. Vagistar Galactaballs,EAT!,ccby,https://freemusicarchive.org/music/EAT/A_Pound_Of_Ham/Dr_Vagistar_Galactaballs/
8851,This is Love,EAT!,ccby,https://freemusicarchive.org/music/EAT/A_Pound_Of_Ham/This_is_Love/
8852,Freaky Snake Hole (Secret Song),EAT!,ccby,https://freemusicarchive.org/music/EAT/A_Pound_Of_Ham/Freaky_Snake_Hole_Secret_Song/
8876,Universal Utensil,EAT!,ccby,https://freemusicarchive.org/music/EAT/Naked_Japanese_Boys/Universal_Utensil_1523/
8878,Puppy and Kitty Stuck in a Tornado,EAT!,ccby,https://freemusicarchive.org/music/EAT/Naked_Japanese_Boys/Puppy_and_Kitty_Stuck_in_a_Tornado_1989/
8879,Autumns Eve,EAT!,ccby,https://freemusicarchive.org/music/EAT/Naked_Japanese_Boys/Autumns_Eve_1939/
8880,Ultra Duck,EAT!,ccby,https://freemusicarchive.org/music/EAT/Naked_Japanese_Boys/Ultra_Duck_1865/
8881,Touch a Clown in the Frightness,EAT!,ccby,https://freemusicarchive.org/music/EAT/Naked_Japanese_Boys/Touch_a_Clown_in_the_Frightness_1905/
8882,In the Forrest,EAT!,ccby,https://freemusicarchive.org/music/EAT/Naked_Japanese_Boys/In_the_Forrest_1822/
8883,Piercing Guitar Solo,EAT!,ccby,https://freemusicarchive.org/music/EAT/Naked_Japanese_Boys/Piercing_Guitar_Solo_1503/
8884,Father and Son,EAT!,ccby,https://freemusicarchive.org/music/EAT/Naked_Japanese_Boys/Father_and_Son_1598/
8885,So Long,EAT!,ccby,https://freemusicarchive.org/music/EAT/Naked_Japanese_Boys/So_Long_1875/
9212,Laid Off,Drums Like Machine Guns,ccby,https://freemusicarchive.org/music/Drums_Like_Machine_Guns/Best_Summer_Ever_1001/Laid_Off/
9213,Special Place In Hell,Drums Like Machine Guns,ccby,https://freemusicarchive.org/music/Drums_Like_Machine_Guns/Best_Summer_Ever_1001/Special_Place_In_Hell/
9214,Unicorns,Drums Like Machine Guns,ccby,https://freemusicarchive.org/music/Drums_Like_Machine_Guns/Best_Summer_Ever_1001/Unicorns/
9215,Maya,Drums Like Machine Guns,ccby,https://freemusicarchive.org/music/Drums_Like_Machine_Guns/Best_Summer_Ever_1001/Maya/
9216,Anais Ruler of the Galaxy,Drums Like Machine Guns,ccby,https://freemusicarchive.org/music/Drums_Like_Machine_Guns/Best_Summer_Ever_1001/Anais_Ruler_of_the_Galaxy/
9217,Big Titties and Bellies,Drums Like Machine Guns,ccby,https://freemusicarchive.org/music/Drums_Like_Machine_Guns/Best_Summer_Ever_1001/Big_Titties_and_Bellies/
9218,Olneyville Voodoo,Drums Like Machine Guns,ccby,https://freemusicarchive.org/music/Drums_Like_Machine_Guns/Best_Summer_Ever_1001/Olneyville_Voodoo/
9219,Flappy Action Packers,Drums Like Machine Guns,ccby,https://freemusicarchive.org/music/Drums_Like_Machine_Guns/Best_Summer_Ever_1001/Flappy_Action_Packers/
9221,Get Radical,Drums Like Machine Guns,ccby,https://freemusicarchive.org/music/Drums_Like_Machine_Guns/Best_Summer_Ever_1001/Get_Radical/
9222,Kizzy,Drums Like Machine Guns,ccby,https://freemusicarchive.org/music/Drums_Like_Machine_Guns/Best_Summer_Ever_1001/Kizzy/
9234,Do You Like,Drums Like Machine Guns,ccby,https://freemusicarchive.org/music/Drums_Like_Machine_Guns/My_Tail_is_the_Fuse_to_the_Burning_Anus/Do_You_Like/
9235,Swimming in April,Drums Like Machine Guns,ccby,https://freemusicarchive.org/music/Drums_Like_Machine_Guns/My_Tail_is_the_Fuse_to_the_Burning_Anus/Swimming_in_April/
9236,Song in a Can,Drums Like Machine Guns,ccby,https://freemusicarchive.org/music/Drums_Like_Machine_Guns/My_Tail_is_the_Fuse_to_the_Burning_Anus/Song_in_a_Can/
9237,Create Your Own Song,Drums Like Machine Guns,ccby,https://freemusicarchive.org/music/Drums_Like_Machine_Guns/My_Tail_is_the_Fuse_to_the_Burning_Anus/Create_Your_Own_Song/
9238,Don't Sass Me Boy,Drums Like Machine Guns,ccby,https://freemusicarchive.org/music/Drums_Like_Machine_Guns/My_Tail_is_the_Fuse_to_the_Burning_Anus/Dont_Sass_Me_Boy/
9239,Frontal Lobe Rock,Drums Like Machine Guns,ccby,https://freemusicarchive.org/music/Drums_Like_Machine_Guns/My_Tail_is_the_Fuse_to_the_Burning_Anus/Frontal_Lobe_Rock/
9240,Yah Yah,Drums Like Machine Guns,ccby,https://freemusicarchive.org/music/Drums_Like_Machine_Guns/My_Tail_is_the_Fuse_to_the_Burning_Anus/Yah_Yah/
9241,Price Right,Drums Like Machine Guns,ccby,https://freemusicarchive.org/music/Drums_Like_Machine_Guns/My_Tail_is_the_Fuse_to_the_Burning_Anus/Price_Right/
9242,Pool Full of Stuffed Animals,Drums Like Machine Guns,ccby,https://freemusicarchive.org/music/Drums_Like_Machine_Guns/My_Tail_is_the_Fuse_to_the_Burning_Anus/Pool_Full_of_Stuffed_Animals/
9243,Best Summer Ever,Drums Like Machine Guns,ccby,https://freemusicarchive.org/music/Drums_Like_Machine_Guns/My_Tail_is_the_Fuse_to_the_Burning_Anus/Best_Summer_Ever/
9244,Song,Drums Like Machine Guns,ccby,https://freemusicarchive.org/music/Drums_Like_Machine_Guns/Your_Word_is_Your_Wand/Song/
9245,Too Soon,Drums Like Machine Guns,ccby,https://freemusicarchive.org/music/Drums_Like_Machine_Guns/Your_Word_is_Your_Wand/Too_Soon/
9246,Tainted Juice,Drums Like Machine Guns,ccby,https://freemusicarchive.org/music/Drums_Like_Machine_Guns/Your_Word_is_Your_Wand/Tainted_Juice/
9247,Unwrap a Smile,Drums Like Machine Guns,ccby,https://freemusicarchive.org/music/Drums_Like_Machine_Guns/Your_Word_is_Your_Wand/Unwrap_a_Smile/
9248,Black Sabbath Cover,Drums Like Machine Guns,ccby,https://freemusicarchive.org/music/Drums_Like_Machine_Guns/Your_Word_is_Your_Wand/Black_Sabbath_Cover/
9249,Kill All The Humans,Drums Like Machine Guns,ccby,https://freemusicarchive.org/music/Drums_Like_Machine_Guns/Your_Word_is_Your_Wand/Kill_All_The_Humans/
9250,Brains and Shit Everywhere,Drums Like Machine Guns,ccby,https://freemusicarchive.org/music/Drums_Like_Machine_Guns/Your_Word_is_Your_Wand/Brains_and_Shit_Everywhere/
9251,Popeyes Has No Napkins,Drums Like Machine Guns,ccby,https://freemusicarchive.org/music/Drums_Like_Machine_Guns/Your_Word_is_Your_Wand/Popeyes_Has_No_Napkins/
9252,2 Soon,Drums Like Machine Guns,ccby,https://freemusicarchive.org/music/Drums_Like_Machine_Guns/Your_Word_is_Your_Wand/2_Soon/
9253,Summer Vacation,Drums Like Machine Guns,ccby,https://freemusicarchive.org/music/Drums_Like_Machine_Guns/Your_Word_is_Your_Wand/Summer_Vacation/
9271,Smocrack,Hot Buns and Tea,ccby,https://freemusicarchive.org/music/Hot_Buns_and_Tea/Poke_It/Smocrack/
9272,Botum O Da Poo,Hot Buns and Tea,ccby,https://freemusicarchive.org/music/Hot_Buns_and_Tea/Poke_It/Botum_O_Da_Poo/
9273,Tinkle Girl,Hot Buns and Tea,ccby,https://freemusicarchive.org/music/Hot_Buns_and_Tea/Poke_It/Tinkle_Girl/
9274,Nannypants,Hot Buns and Tea,ccby,https://freemusicarchive.org/music/Hot_Buns_and_Tea/Poke_It/Nannypants/
9275,Not an Island,Hot Buns and Tea,ccby,https://freemusicarchive.org/music/Hot_Buns_and_Tea/Poke_It/Not_an_Island/
9276,Pink Ink,Hot Buns and Tea,ccby,https://freemusicarchive.org/music/Hot_Buns_and_Tea/Poke_It/Pink_Ink/
9277,Touch My Ass If You Wanna,Hot Buns and Tea,ccby,https://freemusicarchive.org/music/Hot_Buns_and_Tea/Poke_It/Touch_My_Ass_If_You_Wanna/
9278,Holy Mother Fuck,Hot Buns and Tea,ccby,https://freemusicarchive.org/music/Hot_Buns_and_Tea/Poke_It/Holy_Mother_Fuck/
9279,Cosmic Of Sorts,Hot Buns and Tea,ccby,https://freemusicarchive.org/music/Hot_Buns_and_Tea/Poke_It/Cosmic_Of_Sorts/
9319,Two,Number One Sun,ccby,https://freemusicarchive.org/music/Number_One_Sun/Fat_China_Vagina/Two_1128/
9320,Angrobob,Number One Sun,ccby,https://freemusicarchive.org/music/Number_One_Sun/Fat_China_Vagina/Angrobob/
9321,One,Number One Sun,ccby,https://freemusicarchive.org/music/Number_One_Sun/Fat_China_Vagina/One/
9322,The Dire Nimbus,Number One Sun,ccby,https://freemusicarchive.org/music/Number_One_Sun/Fat_China_Vagina/The_Dire_Nimbus/
9323,Industrico,Number One Sun,ccby,https://freemusicarchive.org/music/Number_One_Sun/Fat_China_Vagina/Industrico/
9324,Die the Duck,Number One Sun,ccby,https://freemusicarchive.org/music/Number_One_Sun/Fat_China_Vagina/Die_the_Duck/
9325,Four,Number One Sun,ccby,https://freemusicarchive.org/music/Number_One_Sun/Fat_China_Vagina/Four/
9326,Wineo Holey Rolley,Number One Sun,ccby,https://freemusicarchive.org/music/Number_One_Sun/Fat_China_Vagina/Wineo_Holey_Rolley/
9327,Three,Number One Sun,ccby,https://freemusicarchive.org/music/Number_One_Sun/Fat_China_Vagina/Three/
9328,God Loves the Arcane,Number One Sun,ccby,https://freemusicarchive.org/music/Number_One_Sun/Fat_China_Vagina/God_Loves_the_Arcane/
9329,Wheres the Meat,Number One Sun,ccby,https://freemusicarchive.org/music/Number_One_Sun/Fat_China_Vagina/Wheres_the_Meat/
9363,The Robe,Welcome Wizard,ccby,https://freemusicarchive.org/music/Welcome_Wizard/Awful_Retard_Smelly_Tiny/The_Robe/
9364,Momma's Sex Life,Welcome Wizard,ccby,https://freemusicarchive.org/music/Welcome_Wizard/Awful_Retard_Smelly_Tiny/Mommas_Sex_Life/
9365,Illiteracy,Welcome Wizard,ccby,https://freemusicarchive.org/music/Welcome_Wizard/Awful_Retard_Smelly_Tiny/Illiteracy/
9366,Ultra Jap Cat,Welcome Wizard,ccby,https://freemusicarchive.org/music/Welcome_Wizard/Awful_Retard_Smelly_Tiny/Ultra_Jap_Cat/
9367,Glass Hog,Welcome Wizard,ccby,https://freemusicarchive.org/music/Welcome_Wizard/Awful_Retard_Smelly_Tiny/Glass_Hog/
9368,Italy,Welcome Wizard,ccby,https://freemusicarchive.org/music/Welcome_Wizard/Awful_Retard_Smelly_Tiny/Italy/
9370,Progeria,Welcome Wizard,ccby,https://freemusicarchive.org/music/Welcome_Wizard/Awful_Retard_Smelly_Tiny/Progeria/
9371,Pizza Remants,Welcome Wizard,ccby,https://freemusicarchive.org/music/Welcome_Wizard/Awful_Retard_Smelly_Tiny/Pizza_Remants/
9372,Susan,Welcome Wizard,ccby,https://freemusicarchive.org/music/Welcome_Wizard/Awful_Retard_Smelly_Tiny/Susan/
9373,Flowder,Welcome Wizard,ccby,https://freemusicarchive.org/music/Welcome_Wizard/Awful_Retard_Smelly_Tiny/Flowder/
9374,Lil Pants,Welcome Wizard,ccby,https://freemusicarchive.org/music/Welcome_Wizard/Awful_Retard_Smelly_Tiny/Lil_Pants/
9375,Main Lobby,Welcome Wizard,ccby,https://freemusicarchive.org/music/Welcome_Wizard/Awful_Retard_Smelly_Tiny/Main_Lobby/
9376,The Looking Tounge,Welcome Wizard,ccby,https://freemusicarchive.org/music/Welcome_Wizard/Awful_Retard_Smelly_Tiny/The_Looking_Tounge/
9377,Schooled in Landlordary,Welcome Wizard,ccby,https://freemusicarchive.org/music/Welcome_Wizard/Awful_Retard_Smelly_Tiny/Schooled_in_Landlordary/
9378,"Not a Song, Yet",Welcome Wizard,ccby,https://freemusicarchive.org/music/Welcome_Wizard/Awful_Retard_Smelly_Tiny/Not_a_Song_Yet/
9380,Kitty Penis,Welcome Wizard,ccby,https://freemusicarchive.org/music/Welcome_Wizard/Awful_Retard_Smelly_Tiny/Kitty_Penis/
9385,Jets for Baby,Welcome Wizard,ccby,https://freemusicarchive.org/music/Welcome_Wizard/Jaw_and_Iron/Jets_for_Baby/
9386,Openradio,Welcome Wizard,ccby,https://freemusicarchive.org/music/Welcome_Wizard/Jaw_and_Iron/Openradio/
9387,Crushing,Welcome Wizard,ccby,https://freemusicarchive.org/music/Welcome_Wizard/Jaw_and_Iron/Crushing/
9388,Divorced,Welcome Wizard,ccby,https://freemusicarchive.org/music/Welcome_Wizard/Jaw_and_Iron/Divorced/
9389,MLU,Welcome Wizard,ccby,https://freemusicarchive.org/music/Welcome_Wizard/Jaw_and_Iron/MLU/
9390,Jesus Will Rise Again,Welcome Wizard,ccby,https://freemusicarchive.org/music/Welcome_Wizard/Jaw_and_Iron/Jesus_Will_Rise_Again/
